E,,,
From bus id ,stop bus id ,distance (miles),time (seconds)
47,47,0,180
47,48,0.2,60
48,48,0,60
48,60,0.0901515,60
60,60,0,60
60,50,0.2,60
50,50,0,60
50,51,0.2,60
51,51,0,60
51,52,0.2,60
52,52,0,60
52,45,0.2,60
45,45,0,60
45,46,0.2,60
46,46,0,60
46,6,0.2,60
6,6,0,60
6,8,0.2,60
8,8,0,60
8,10,0.5,120
10,10,0,60
10,11,0.2,60
11,11,0,60
11,12,0.3,60
12,12,0,60
12,13,0.2,60
13,13,0,60
13,14,0.1,60
14,14,0,60
14,1,0.2,60
1,1,0,60
1,55,0.4,120
55,55,0,60
55,58,0.4,60
58,58,0,60
58,59,0.2,60
59,59,0,60
59,107,0.2,60
107,107,0,60
107,61,0.1,60
61,61,0,60
61,62,0.2,60
62,62,0,60
62,47,0.085,60
47,47,0,180
